Date,Total,China,Korea,HongKong,Taiwan,Macao,Thiland,Singapore,Japan,Vietnam,Nepal,Malaysia,Cambodia,SirLangKa,UAE,India,Philippine,Iran,Lebanon,Israel,USA,Canada,France,Germany,Finland,Italy,UK,Russia,Sweden,Spain,Belgium,Australia,Egypt,TotalDied,ChinaDied,KoreaDied,HongKongDied,TaiwanDied,MacaoDied,ThilandDied,SingaporeDied,JapanDied,VietnamDied,NepalDied,MalaysiaDied,CambodiaDied,SirLangKaDied,UAEDied,IndiaDied,PhilippineDied,IranDied,LebanonDied,IsraelDied,USADied,CanadaDied,FranceDied,GermanyDied,FinlandDied,ItalyDied,UKDied,RussiaDied,SwedenDied,SpainDied,BelgiumDied,AustraliaDied,EgyptDied
2020-01-19,204,201,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-20,224,219,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-21,314,309,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-22,317,309,1,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-23,581,571,1,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-24,847,830,2,2,1,2,4,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-25,1317,1287,2,5,3,2,5,3,2,2,1,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,2013,1975,3,5,3,2,5,4,3,2,1,4,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,1,0,56,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-27,2798,2744,4,8,4,5,8,4,4,2,1,4,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,80,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-28,4576,4515,4,8,5,6,8,4,4,2,1,4,1,0,0,0,0,0,0,0,5,1,3,0,0,0,0,0,0,0,0,5,0,106,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-29,6056,5974,4,8,8,7,14,5,7,2,1,4,1,1,0,0,0,0,0,0,5,3,3,4,0,0,0,0,0,0,0,5,0,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-30,7815,7711,7,10,8,7,14,10,9,2,1,7,1,1,4,0,0,0,0,0,5,3,4,4,0,0,0,0,0,0,0,7,0,170,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-31,9816,9692,11,12,9,7,14,13,12,2,1,8,1,1,4,1,1,0,0,0,5,3,5,4,1,0,0,0,0,0,0,9,0,213,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,11936,11791,12,12,10,7,19,13,15,5,1,8,1,1,4,1,1,0,0,0,6,3,5,5,1,2,2,2,0,0,0,9,0,259,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,14543,14380,15,13,10,7,19,16,15,6,1,8,1,1,4,1,1,0,0,0,7,4,6,7,1,2,2,2,1,1,0,12,0,304,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-03,17378,17205,15,14,10,8,19,18,15,7,1,8,1,1,5,2,2,0,0,0,8,4,6,8,1,2,2,2,1,1,0,12,0,362,361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-04,20619,20438,16,15,10,8,19,18,16,8,1,8,1,1,5,3,2,0,0,0,11,4,6,8,1,2,2,2,1,1,0,12,0,426,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-05,24530,24324,21,18,11,10,19,22,19,10,1,10,1,1,5,3,2,0,0,0,11,4,6,10,1,2,2,2,1,1,0,13,0,492,490,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-06,28254,28018,24,21,11,10,25,26,31,10,1,10,1,1,5,3,3,0,0,0,11,5,6,10,1,2,2,2,1,1,0,13,0,565,563,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-07,31422,31161,24,21,13,10,25,28,45,10,1,12,1,1,5,3,3,0,0,0,12,5,6,12,1,2,2,2,1,1,1,14,0,638,636,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-08,34871,34546,27,26,16,10,25,30,86,12,1,14,1,1,5,3,3,0,0,0,12,7,6,13,1,3,3,2,1,1,1,15,0,724,722,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-09,37543,37198,27,26,17,10,32,33,90,13,1,15,1,1,7,3,3,0,0,0,12,7,6,14,1,3,3,2,1,1,1,15,0,813,811,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-10,40532,40171,27,26,18,10,32,40,90,14,1,17,1,1,7,3,3,0,0,0,12,7,11,14,1,3,3,2,1,1,1,15,0,910,908,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-11,43098,42638,28,42,18,10,32,43,161,15,1,18,1,1,7,3,3,0,0,0,12,7,11,14,1,3,8,2,1,2,1,15,0,1018,1016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-12,45124,44653,28,49,18,10,33,45,161,15,1,18,1,1,8,3,3,0,0,0,13,7,11,14,1,3,8,2,1,1,1,15,0,1115,1113,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
